LOIS	NOMpro	Lois
DE	PRE	de
GUILLAUME	NOMpro	Guillaume
LE	DETdef	le
CONQUÉRANT	NOMpro	Conquauin
Cez	PROdem	cest
sunt	VERcjg	être
les	DETdef	le
leis	NOMcom	loi
e	CONcoo	et
les	DETdef	le
custumes	NOMcom	coutume
que	PROrel	que
li	DETdef	le
reis	NOMcom	roi
Will	NOMpro	Guil
.	PONfrt	.

grantad	VERcjg	cranter
al	PRE.DETdef	à.le
pople	NOMcom	peuple
de	PRE	de
Engleterre	NOMpro	Angleterre
apres	PRE	après
le	DETdef	le
cunquest	NOMcom	conquêt
de	PRE	de
la	DETdef	le
terre	NOMcom	terre
;	PONfbl	;
iceles	PROdem	cil
meimes	ADJqua	maime
que	PROrel	que
li	DETdef	le
reis	NOMcom	roi
Edward	NOMpro	Edward
,	PONfbl	,
sun	DETpos	son
cusin	NOMcom	cousin
,	PONfbl	,
tint	VERcjg	tenir
devant	PRE	devant
lui	PROper	il
.	PONfrt	.

Ceo	PROdem	ce
est	VERcjg	estre
a	PRE	a
saver	VERinf	savoir
:	PONfbl	:
Pais	NOMcom	paix
a	PRE	a
seinte	ADJqua	saint
iglise	NOMcom	église
.	PONfrt	.

De	PRE	de
quel	DETrel	quel
forfeit	NOMcom	forfait
que	PROrel	que
hom	PROind	on
oust	VERcjg	avoir
fet	VERppe	faire
,	PONfbl	,
e	CONcoo	et
il	PROper	il
poust	VERcjg	pouvoir
venir	VERinf	venir
a	PRE	a
seinte	ADJqua	saint
iglise	NOMcom	église
,	PONfbl	,
oust	VERcjg	avoir
pais	NOMcom	paix
de	PRE	de
vie	NOMcom	vie
e	CONcoo	et
de	PRE	de
menbre	NOMcom	membre
.	PONfrt	.

E	CONcoo	et
si	CONsub	si
aucuns	PROind	aucun
meist	VERcjg	mettre
main	NOMcom	main
en	PRE	en
celui	PROdem	cel
ki	PROrel	qui
la	DETdef	le
mere	NOMcom	mere
iglise	NOMcom	église
requereit	VERcjg	requérir
,	PONfbl	,
si	CONsub	si
ceo	PROdem	ce
fust	VERcjg	estre
u	CONcoo	ou
evesqué	NOMcom	évêché
u	CONcoo	ou
abeie	NOMcom	abbaye
u	CONcoo	ou
iglise	NOMcom	église
de	PRE	de
religiun	NOMcom	religion
,	PONfbl	,
rendist	VERcjg	rendre
ceo	PROdem	ce
qu'	PROrel	que
il	PROper	il
avreit	VERcjg	avoir
pris	VERppe	prendre
,	PONfbl	,
e	CONcoo	et
cent	PROcar	cent
souz	PRE	sous
le	DETdef	le
forfeit	NOMcom	forfait
;	PONfbl	;
e	CONcoo	et
de	PRE	de
mere	NOMcom	mere
iglise	NOMcom	église
de	PRE	de
parosse	NOMcom	parosse
xx	DETcar	vingt
souz	ADJqua	seul
;	PONfbl	;
e	CONcoo	et
de	PRE	de
chapele	NOMcom	chapele
x	DETcar	dix
souz	ADJqua	seul
.	PONfrt	.

E	CONcoo	et
ki	PROrel	qui
enfreint	VERcjg	enfraindre
la	DETdef	le
pais	NOMcom	paix
le	DETdef	le
rei	NOMcom	roi
,	PONfbl	,
en	PRE	en
Merchenelahe	NOMpro	Merchenelahe
cent	PROcar	cent
souz	PRE	sous
les	DETdef	le
amendes	NOMcom	amende
.	PONfrt	.

Autresi	ADVgen	autresi
dehemforeet	VERppe	défemprer
de	PRE	de
agwait	NOMcom	agait
purpensé	VERppe	pourpenser
.	PONfrt	.

Icel	DETdem	icel
plait	NOMcom	plaid
afert	VERcjg	aferir
a	PRE	a
la	DETdef	le
curune	NOMcom	couronne
le	DETdef	le
rei	NOMcom	roi
.	PONfrt	.

E	CONcoo	et
si	CONsub	si
aucuns	DETind	aucun
vescunte	NOMcom	vicomte
u	CONcoo	ou
provost	NOMcom	prévôt
mesfait	VERppe	méfaire
as	PRE.DETdef	à.le
humes	NOMcom	homme
de	PRE	de
sa	DETpos	son
baillie	NOMcom	baillie
,	PONfbl	,
e	CONcoo	et
de	PRE	de
ceo	PROdem	ce
seit	VERcjg	être
ateint	VERppe	atteindre
devant	PRE	devant
justise	NOMcom	justice
,	PONfbl	,
le	DETdef	le
forfeit	NOMcom	forfait
est	VERcjg	estre
a	PRE	a
duble	ADJqua	double
de	PRE	de
ceo	PROdem	ce
que	PROrel	que
autre	PROind	autre
fust	VERcjg	estre
forfeit	VERppe	forfaire
.	PONfrt	.

E	CONcoo	et
ki	PROrel	qui
en	PRE	en
Denelahe	NOMpro	Denelade
enfreint	VERcjg	enfraindre
la	DETdef	le
pais	NOMcom	paix
le	DETdef	le
rei	NOMcom	roi
,	PONfbl	,
set	DETcar	sept
vint	DETcar	vingt
livres	NOMcom	livre
e	CONcoo	et
quatre	DETcar	quatre
les	DETdef	le
amendes	NOMcom	amende
e	CONcoo	et
les	DETdef	le
forfez	NOMcom	forfait
le	DETdef	le
rei	NOMcom	roi
,	PONfbl	,
ki	PROrel	qui
aferent	VERcjg	affaire
al	PRE.DETdef	à.le
vescunte	NOMcom	vicomte
,	PONfbl	,
Lsouz	ADJqua	leux
.	PONfrt	.

en	PRE	en
Merchenelahe	NOMpro	Merchenelahe
exlsouz	PROper	exus
en	PRE	en
Westsexenelahe	NOMpro	Westenale
.	PONfrt	.

E	CONcoo	et
cil	DETdem	cil
francs	ADJqua	franc
hom	NOMcom	homme
ki	PROrel	qui
ad	VERcjg	avoir
e	CONcoo	et
sache	VERcjg	savoir
e	CONcoo	et
soche	VERcjg	sochier
e	CONcoo	et
toll	NOMcom	tol
e	CONcoo	et
tem	NOMcom	temp
e	CONcoo	et
infangentheof	NOMcom	infangentief
,	PONfbl	,
se	CONsub	se
il	PROper	il
est	VERcjg	estre
enplaidé	VERppe	emplaider
,	PONfbl	,
e	CONcoo	et
il	PROper	il
seit	VERcjg	être
mis	VERppe	metre
en	PRE	en
forfeit	NOMcom	forfait
el	PRE.DETdef	en
cunté	NOMcom	comté
,	PONfbl	,
afert	VERppe	aferir
al	PRE.DETdef	à.le
os	NOMcom	os
le	DETdef	le
vescunte	NOMcom	vicomte
en	PRE	en
Denelahexl	NOMpro	Denelal
ores	ADVgen	or
,	PONfbl	,
e	CONcoo	et
de	PRE	de
cel	DETdem	cil
hume	NOMcom	homme
ki	PROrel	qui
ceste	DETdem	cest
franchise	NOMcom	franchise
nen	ADVneg	ne
ad	VERcjg	avoir
xxxii	ADVgen	trente-
ores	ADVgen	or
.	PONfrt	.

De	PRE	de
cez	DETdem	cist
xxxii	ADVgen	trente-
ores	ADVgen	or
averad	VERcjg	avoir
le	DETdef	le
vescunte	NOMcom	vicomte
al	PRE.DETdef	à.le
os	NOMcom	os
le	DETdef	le
rei	NOMcom	roi
x	ADJcar	dix
ores	ADVgen	or
,	PONfbl	,
e	CONcoo	et
cil	PROdem	cel
ki	PROrel	qui
le	DETdef	le
plait	NOMcom	plaid
averad	VERcjg	avoir
deredné	VERppe	déranner
vers	PRE	vers
lui	PROper	il
xii	ADVgen	siz
ores	ADVgen	or
,	PONfbl	,
e	CONcoo	et
le	DETdef	le
seinur	NOMcom	seigneur
,	PONfbl	,
en	PRE	en
ki	PROrel	qui
fiu	NOMcom	fief
il	PROper	il
meindra	VERcjg	mener
,	PONfbl	,
les	DETdef	le
x	ADJcar	dix
ores	ADVgen	or
.	PONfrt	.

Ceo	PROdem	ce
est	VERcjg	estre
en	PRE	en
Denelahe	NOMpro	Denelade
.	PONfrt	.

La	DETdef	le
custume	NOMcom	coutume
en	PRE	en
Merchenelahe	NOMpro	Merchenelahe
est	VERcjg	estre
:	PONfbl	:
si	CONsub	si
aucuns	PROind	aucun
est	VERcjg	estre
apelé	VERppe	apeler
de	PRE	de
larrecin	NOMcom	larcin
u	CONcoo	ou
de	PRE	de
roberie	NOMcom	roberie
,	PONfbl	,
e	CONcoo	et
il	PROper	il
seit	VERcjg	être
plevi	VERppe	plevir
a	PRE	a
venir	VERinf	venir
devant	PRE	devant
justise	NOMcom	justice
,	PONfbl	,
e	CONcoo	et
il	PROper	il
s'	PROper	soi
en	PROadv	en
fuie	VERcjg	fuir
dedenz	ADVgen	dedans
,	PONfbl	,
sun	DETpos	son
plege	NOMcom	pleige
si	ADVgen	si
averad	VERcjg	avoir
terme	NOMcom	terme
de	PRE	de
un	DETndf	un
meis	NOMcom	mois
e	CONcoo	et
un	DETndf	un
jur	NOMcom	jour
de	PRE	de
querre	VERinf	querre
le	PROper	il
;	PONfbl	;
e	CONcoo	et
s'	CONsub	se
il	PROper	il
le	PROper	il
pot	VERcjg	pöoir
truver	VERinf	trouver
dedenz	PRE	dedans
le	DETdef	le
terme	NOMcom	terme
,	PONfbl	,
sil	ADVgen.PROper	si.le
merra	VERcjg	mener
a	PRE	a
la	DETdef	le
justise	NOMcom	justice
;	PONfbl	;
e	CONcoo	et
s'	CONsub	se
il	PROper	il
nel	ADVneg.PROper	ne
pot	VERcjg	pöoir
truver	VERinf	trouver
,	PONfbl	,
si	ADVgen	si
jurra	VERcjg	jurer
sei	PROper	soi
duzime	ADJord	duitième
main	NOMcom	main
,	PONfbl	,
que	CONsub	que
,	PONfbl	,
a	PRE	a
l'	DETdef	le
ure	NOMcom	heure
qu'	CONsub	que
il	PROper	il
le	PROper	il
plevi	VERcjg	plevir
,	PONfbl	,
larrun	NOMcom	larron
nel	ADVneg.PROper	ne
sout	VERcjg	savoir
,	PONfbl	,
ne	CONcoo	ne
par	PRE	par
lui	PROper	il
ne	ADVneg	ne
s'	PROper	soi
en	PROadv	en
est	VERcjg	estre
fuid	VERppe	fuir
,	PONfbl	,
ne	CONcoo	ne
aver	VERinf	avoir
nel	ADVneg.PROper	ne
pot	VERcjg	pöoir
.	PONfrt	.

Dunc	ADVgen	donc
rendrad	VERcjg	rendre
le	DETdef	le
chatel	NOMcom	chatel
,	PONfbl	,
dunt	PROrel	dont
il	PROper	il
est	VERcjg	estre
retez	VERppe	reter
,	PONfbl	,
e	CONcoo	et
xx	DETcar	vingt
souz	NOMcom	sol
pur	PRE	pour
la	DETdef	le
teste	NOMcom	teste
e	CONcoo	et
iiii	PROadv	eaui
den	NOMcom	dent
.	PONfrt	.

al	PRE.DETdef	à.le
ceper	VERinf	ceper
,	PONfbl	,
e	CONcoo	et
une	DETndf	un
maille	NOMcom	maille
pur	PRE	pour
la	DETdef	le
besche	NOMcom	besche
,	PONfbl	,
exlsol	ADJqua	exil
.	PONfrt	.

al	PRE.DETdef	à.le
rei	NOMcom	roi
.	PONfrt	.

E	CONcoo	et
en	PRE	en
Westsexenelahe	NOMpro	Westenale
c	ETR	<unk>no_lemma
sol	ADJqua	sol
.	PONfbl	.
;	PONfbl	;
xx	DETcar	vingt
sol	ADJqua	sol
.	PONfrt	.

al	PRE.DETdef	à.le
clamif	NOMcom	clamif
pur	PRE	pour
la	DETdef	le
teste	NOMcom	teste
e	CONcoo	et
iiii	DETcar	catre
lib.	ETR	libra
al	PRE.DETdef	à.le
rei	NOMcom	roi
.	PONfrt	.

En	PRE	en
Denelahe	NOMpro	Denelade
viii	VERcjg	vïer
lib.	ETR	libra
le	DETdef	le
forfeit	NOMcom	forfait
:	PONfbl	:
les	DETdef	le
xx	PROord	trente
sol	ADJqua	sol
.	PONfrt	.

pur	PRE	pour
la	DETdef	le
teste	NOMcom	teste
,	PONfbl	,
les	PROper	il
vii	VERcjg	vëoir
lib.	ETR	libra
al	PRE.DETdef	à.le
rei	NOMcom	roi
.	PONfrt	.

E	CONcoo	et
s'	CONsub	se
il	PROper	il
pot	VERcjg	pöoir
dedenz	PRE	dedans
un	DETcar	un
an	NOMcom	an
e	CONcoo	et
un	DETndf	un
jur	NOMcom	jour
truver	VERinf	trouver
le	DETdef	le
larrun	NOMcom	larron
e	CONcoo	et
amener	VERinf	amener
a	PRE	a
justise	NOMcom	justice
,	PONfbl	,
si	ADVgen	si
lui	PROper	il
rendra	VERcjg	rendre
cil	PROdem	cel
les	DETdef	le
xx	PROord	trente
sol	ADJqua	sol
.	PONfrt	.

kis	PROrel.PROper	qui.le
averad	VERcjg	avoir
oud	VERppe	avoir
e	CONcoo	et
sin	ADVgen.PROadv	si.en
ert	VERcjg	être
feite	VERppe	faire
la	DETdef	le
justise	NOMcom	justice
del	PRE.DETdef	de
larrun	NOMcom	larron
.	PONfrt	.

Cil	PROdem	cel
ki	PROrel	qui
prendra	VERcjg	prendre
larrun	NOMcom	larron
senz	PRE	sans
siwte	NOMcom	sive
e	CONcoo	et
senz	PRE	sans
cri	NOMcom	cri
que	PROrel	que
cil	PROdem	cel
enlest	VERcjg	enlaissier
a	PRE	a
ki	PROrel	qui
il	PROper	il
avera	VERcjg	avoir
le	DETdef	le
damage	NOMcom	dommage
fait	VERppe	faire
,	PONfbl	,
e	CONcoo	et
il	PROper	il
vienge	VERcjg	venir
apres	ADVgen	après
,	PONfbl	,
si	ADVgen	si
est	VERcjg	estre
resun	NOMcom	raison
qu'	CONsub	que
il	PROper	il
duinse	VERcjg	donner
x	PRE.DETdef	à.le
sol	ADJqua	sol
de	PRE	de
hengwite	NOMcom	hanguite
e	CONcoo	et
si	ADVgen	si
face	VERcjg	faire
la	DETdef	le
justise	NOMcom	justice
a	PRE	a
la	DETdef	le
primere	ADJord	premier
devise	NOMcom	devise
.	PONfrt	.

E	CONcoo	et
s'	CONsub	se
il	PROper	il
passe	VERcjg	passer
la	DETdef	le
devise	NOMcom	devise
senz	PRE	sans
le	DETdef	le
cunged	NOMcom	congé
a	PRE	a
la	DETdef	le
justise	NOMcom	justice
,	PONfbl	,
si	ADVgen	si
est	VERcjg	estre
forfeit	VERppe	forfaire
dexlsol	ADJqua	dexil
.	PONfrt	.

Cil	PROdem	cel
ki	PROrel	qui
aveir	VERinf	avoir
rescut	VERcjg	rescourre
,	PONfbl	,
u	CONcoo	ou
chevals	NOMcom	cheval
u	CONcoo	ou
bos	NOMcom	bois
u	CONcoo	ou
vaches	NOMcom	vache
u	CONcoo	ou
berbiz	NOMcom	brebis
u	CONcoo	ou
pors	NOMcom	porc
,	PONfbl	,
que	PROrel	que
est	VERcjg	estre
forfengapelé	VERppe	forfangaper
en	PRE	en
engleis	NOMcom	anglais
,	PONfbl	,
cil	PROdem	cel
kis	PROrel.PROper	qui.le
claimed	VERcjg	clamer
durrad	VERcjg	donner
al	PRE.DETdef	à.le
provost	NOMcom	prévôt
pur	PRE	pour
la	DETdef	le
rescussiun	NOMcom	rescoussion
viii	VERcjg	vïer
den	NOMcom	dent
;	PONfbl	;
ja	ADVgen	ja
tant	ADVgen	tant
n'	ADVneg	ne
i	PROadv	i
ait	VERcjg	avoir
,	PONfbl	,
mes	ADVgen	mais
qu'	CONsub	que
il	PROper	il
i	PROadv	i
oust	VERcjg	avoir
cent	DETcar	cent
almaille	NOMcom	aumaille
,	PONfbl	,
ne	ADVneg	ne
durrad	VERcjg	donner
que	CONsub	que
viii	VERcjg	vïer
den	NOMcom	dent
.	PONfbl	.
;	PONfbl	;
e	CONcoo	et
pur	PRE	pour
un	DETndf	un
porc	NOMcom	porc
i	PROadv	i
den	VERcjg	dentir
.	PONfbl	.
,	PONfbl	,
e	CONcoo	et
pur	PRE	pour
i	PROadv	i
berbiz	NOMcom	brebis
i	PROadv	i
den	VERcjg	dentir
.	PONfbl	.
,	PONfbl	,
e	CONcoo	et
issi	ADVgen	issi
tresque	PRE	tresque
