Loys	NOMpro	Loeïs
,	PONfbl	,
par	PRE	par
la	DETdef	le
grace	NOMcom	grâce
de	PRE	de
Dieu	NOMpro	Dieu
,	PONfbl	,
roy	NOMcom	roi
de	PRE	de
France	NOMpro	France
.	PONfrt	.

Trés	ADVgen	très
chier	ADJqua	chier
et	CONcoo	et
trés	ADVgen	très
amé	VERppe	aimer
oncle	NOMcom	oncle
,	PONfbl	,
vous	PROper	vous
savez	VERcjg	savoir
assez	ADVgen	assez
le	DETdef	le
trés	NOMcom	tref
petit	ADJqua	petit
et	CONcoo	et
mauvaiz	ADJqua	mauvais
gouvernement	NOMcom	gouvernement
qui	PROrel	que
de	PRE	de
long	ADJqua	long
temps	NOMcom	temps
a	VERcjg	avoir
esté	VERppe	être
et	CONcoo	et
est	VERcjg	estre
encores	ADVgen	encore
de	PRE	de
present	NOMcom	présent
en	PRE	en
la	DETdef	le
maison	NOMcom	maison
de	PRE	de
Savoie	NOMpro	savoir
,	PONfbl	,
de	PRE	de
laquelle	PROrel	lequel
nous	PROper	nous
sommes	VERcjg	être
si	ADVgen	si
fort	ADVgen	fort
aliez	VERppe	allier
,	PONfbl	,
ainsi	ADVgen	ainsi
qu'	CONsub	que
il	PROper	il
est	VERcjg	estre
assez	ADVgen	assez
notoire	ADJqua	notoire
.	PONfrt	.

Et	CONcoo	et
aussi	ADVgen	aussi
estes	VERcjg	estre
bien	ADVgen	bien
recors	VERppe	recorde
des	PRE.DETdef	de.le
grands	ADJqua	grand
peynes	NOMcom	peine
,	PONfbl	,
travaulx	NOMcom	travail
et	CONcoo	et
diligences	NOMcom	dilijance
que	PROrel	que
feu	NOMcom	feu
le	DETdef	le
legat	NOMcom	légat
,	PONfbl	,
nostre	DETpos	notre
bel	ADJqua	bel
oncle	NOMcom	oncle
a	VERcjg	avoir
eues	VERppe	avoir
et	CONcoo	et
soustenues	VERppe	soutenir
pour	PRE	pour
y	PROadv	y
cuider	VERinf	cuidier
mectre	VERinf	mettre
bon	ADJqua	bon
ordre	NOMcom	ordre
et	CONcoo	et
gouvernement	NOMcom	gouvernement
,	PONfbl	,
ce	PROdem	ce
qu'	PROrel	que
il	PROper	il
ne	ADVneg	ne
peut	VERcjg	pouvoir
faire	VERinf	faire
en	PRE	en
son	DETpos	son
vivant	NOMcom	vivant
,	PONfbl	,
obstant	VERppa	obster
les	DETdef	le
mauvaises	ADJqua	mauvais
et	CONcoo	et
iniques	ADVgen	iniques
induccions	NOMcom	induction
et	CONcoo	et
seduccions	NOMcom	seduction
qui	PROrel	que
y	PROadv	y
ont	VERcjg	avoir
couru	VERppe	courir
par	PRE	par
longtemps	ADVgen	lont
et	CONcoo	et
font	VERcjg	faire
à	PRE	à
present	NOMcom	présent
par	PRE	par
les	DETdef	le
infideles	NOMcom	infidèle
