Phelippe	NOMpro	Philippe
,	PONfbl	,
par	PRE	par
la	DETdef	le
grace	NOMcom	grâce
de	PRE	de
Dieu	NOMpro	Dieu
roi	NOMcom	roi
de	PRE	de
France	NOMpro	France
,	PONfbl	,
a	PRE	a
nos	PROper	nos
amez	VERcjg	amer
et	CONcoo	et
feauls	NOMcom	feaux
les	DETdef	le
gens	NOMcom	gens
de	PRE	de
nostre	DETpos	notre
Parlement	NOMcom	parlement
,	PONfbl	,
salut	NOMcom	salut
et	CONcoo	et
dilection	NOMcom	dilection
.	PONfrt	.

Nous	PROper	nous
avons	VERcjg	avoir
ottroié	VERppe	octroyer
et	CONcoo	et
ottroions	VERppe	octroyer
de	PRE	de
grace	NOMcom	grâce
especial	ADJqua	espécial
a	PRE	a
l'	DETdef	le
abbé	NOMcom	abbé
de	PRE	de
Saint	ADJqua	saint
Germain	NOMpro	Germain
des	PRE.DETdef	de.le
Prez	NOMcom	pré
et	CONcoo	et
au	PRE.DETdef	a
convent	NOMcom	couvent
que	PROrel	que
l'	PROper	il
arrest	VERcjg	ardre
donné	VERppe	donner
sollempnement	ADVgen	solennement
en	PRE	en
nostre	DETpos	notre
court	NOMcom	cour
contre	PRE	contre
les	DETdef	le
diz	NOMcom	dit
religieus	ADJqua	religïos
et	CONcoo	et
pour	PRE	pour
ceus	PROdem	cil
de	PRE	de
Saint	ADJqua	saint
Magloire	NOMpro	Magloire
de	PRE	de
Paris	NOMpro	Paris
soit	VERcjg	estre
reveuz	VERppe	revoir
pour	PRE	pour
la	DETdef	le
cause	NOMcom	cause
d'	PRE	de
aucuns	DETind	aucun
erreurs	NOMcom	herreur
qui	PROrel	que
y	PROadv	y
ont	VERcjg	avoir
esté	VERppe	être
,	PONfbl	,
si	ADVgen	si
comme	CONsub	comme
le	DETdef	le
dit	VERppe	dire
abbé	NOMcom	abbé
maintient	VERcjg	maintenir
.	PONfrt	.

Si	ADVgen	si
vous	PROper	vous
mandons	VERcjg	mander
que	CONsub	que
le	DETdef	le
dit	VERppe	dire
arrest	VERcjg	ardre
ainsi	ADVgen	ainsi
donné	VERppe	donner
vous	PROper	vous
revoiez	VERcjg	revëoir
diligaument	ADVgen	diligamment
et	CONcoo	et
sanz	PRE	sans
delay	NOMcom	délai
et	CONcoo	et
tout	DETind	tout
le	DETdef	le
procés	NOMcom	procés
et	CONcoo	et
les	DETdef	le
enquestes	NOMcom	enqueste
touchanz	VERppa	toucher
le	DETdef	le
dit	VERppe	dire
arrest	VERcjg	ardre
et	CONcoo	et
dont	PROrel	dont
il	PROper	il
est	VERcjg	estre
et	CONcoo	et
s'	PROper	soi
ensuit	VERcjg	ensuivre
,	PONfbl	,
et	CONcoo	et
en	PROadv	en
redonnez	VERcjg	redonner
ce	PROdem	ce
que	PROrel	que
vous	PROper	vous
