Chiere	ADJqua	cher
seur	NOMcom	sor
,	PONfbl	,
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
vous	PROper	vous
estans	VERcjg	ester
en	PRE	en
l'	DETdef	le
eage	NOMcom	âge
de	PRE	de
quinze	DETcar	quinze
ans	NOMcom	an
et	CONcoo	et
la	DETdef	le
sepmaine	NOMcom	semaine
que	PROrel	que
vous	PROper	vous
et	CONcoo	et
moy	PROper	moi
feusmes	VERcjg	être
espousez	VERppe	épouser
,	PONfbl	,
me	PROper	je
priastes	VERcjg	prier
que	CONsub	que
je	PROper	je
espargnasse	VERcjg	espargnier
a	PRE	a
vostre	DETpos	vostre
jeunesse	NOMcom	jeunesse
et	CONcoo	et
a	PRE	a
vostre	DETpos	vostre
petit	ADJqua	petit
et	CONcoo	et
ygnorant	VERppa	ignorer
service	NOMcom	service
jusques	PRE	jusque
a	PRE	a
ce	PROdem	ce
que	CONsub	que
vous	PROper	vous
eussiez	VERcjg	avoir
plus	ADVgen	plus
veu	VERppe	voir
et	CONcoo	et
apris	VERppe	aprendre
;	PONfbl	;
a	PRE	a
laquelle	DETrel	lequel
appreseure	NOMcom	apprésure
vous	PROper	vous
me	PROper	je
promectiez	VERcjg	promettre
d'	PRE	de
entendre	VERinf	entendre
songneusement	ADVgen	songeusement
et	CONcoo	et
mettre	VERinf	mettre
toute	DETind	tout
vostre	DETpos	vostre
cure	NOMcom	cure
et	CONcoo	et
diligence	NOMcom	dilijance
pour	PRE	pour
ma	DETpos	mon
paix	NOMcom	paix
et	CONcoo	et
amour	NOMcom	amour
garder	VERinf	garder
(	PONpga	(
si	ADVgen	si
comme	CONsub	comme
vous	PROper	vous
disiez	VERcjg	dire
bien	ADVgen	bien
saigement	ADVgen	sagement
par	PRE	par
plus	ADVgen	plus
sage	ADJqua	sage
conseil	NOMcom	conseil
,	PONfbl	,
ce	PROdem	ce
croy	VERcjg	croire
je	PROper	je
bien	ADVgen	bien
,	PONfbl	,
que	CONsub	que
le	DETdef	le
vostre	PROpos	vostre
)	PONpdr	)
en	PRE	en
moy	PROper	moi
priant	VERppa	priier
humblement	ADVgen	humblement
en	PRE	en
nostre	DETpos	notre
lit	NOMcom	lit
,	PONfbl	,
comme	CONsub	comme
