Depuis	PRE	depuis
cele	DETdem	cil
eure	NOMcom	heure
que	PROrel	que
Godefroys	NOMpro	Godefrois
de	PRE	de
Builon	NOMpro	Buillon
et	CONcoo	et
la	DETdef	le
baronie	NOMcom	baronie
de	PRE	de
France	NOMpro	France
orent	VERcjg	avoir
conquise	VERppe	conquerre
Antioche	NOMpro	Antioche
et	CONcoo	et
Jherusalem	NOMpro	Jérusalem
,	PONfbl	,
et	CONcoo	et
il	PROper	il
orent	VERcjg	avoir
remise	VERppe	remettre
la	DETdef	le
crestienté	NOMcom	chrétienté
dedenz	ADVgen	dedans
,	PONfbl	,
qui	PROrel	que
par	PRE	par
lonc	ADJqua	lonc
tens	NOMcom	temps
en	PROadv	en
avoit	VERcjg	avoir
esté	VERppe	être
hors	ADVgen	hors
mise	VERppe	metre
,	PONfbl	,
n'	ADVneg	ne
orent	VERcjg	avoir
crestien	ADJqua	crestiien
victoire	NOMcom	victoire
contre	PRE	contre
Sarrezins	NOMpro	Sarresin
en	PRE	en
la	DETdef	le
terre	NOMcom	terre
deSurie	VERppe	désurir
,	PONfbl	,
fors	PRE	fors
seulement	ADVgen	seulement
d'	PRE	de
Acre	NOMpro	Acre
,	PONfbl	,
qui	PROrel	que
fu	VERcjg	estre
reconquise	VERppe	reconquerre
au	PRE.DETdef	a
tans	NOMcom	tens
Solehadin	NOMpro	Solehadin
,	PONfbl	,
au	PRE.DETdef	a
tens	NOMcom	temps
le	DETdef	le
roy	NOMcom	roi
Phelipe	NOMpro	Felip
,	PONfbl	,
dont	PROrel	dont
vous	PROper	vous
orrez	VERcjg	ouïr
parler	VERinf	parler
ci	ADVgen	ci
en	PRE	en
avant	ADVgen	avant
,	PONfbl	,
et	CONcoo	et
de	PRE	de
Coustantinoble	NOMpro	Coustantinoble
que	PROrel	que
li	DETdef	le
dus	NOMcom	duc
de	PRE	de
Venise	NOMpro	Venise
conquist	VERcjg	conquerre
,	PONfbl	,
qui	PROrel	que
estoit	VERcjg	estre
avulez	VERppe	avuler
.	PONfrt	.

Si	ADVgen	si
avint	VERcjg	advenir
uns	DETndf	un
tans	NOMcom	tens
aprés	PRE	après
la	DETdef	le
mort	NOMcom	mort
le	DETdef	le
roy	NOMcom	roi
Godefroyt	NOMpro	Godefroid
et	CONcoo	et
le	DETdef	le
roy	NOMcom	roi
Bauduin	NOMpro	Baudouin
son	DETpos	son
frere	NOMcom	frère
,	PONfbl	,
qui	PROrel	que
furent	VERcjg	estre
roy	NOMcom	roi
de	PRE	de
Jherusalem	NOMpro	Jérusalem
li	DETdef	le
uns	PROind	un
aprés	PRE	après
l'	DETdef	le
autre	PROind	autre
,	PONfbl	,
que	CONsub	que
il	PROper	il
ot	VERcjg	avoir
un	DETndf	un
roy	NOMcom	roi
en	PRE	en
France	NOMpro	France
qui	PROrel	que
ot	VERcjg	avoir
a	PRE	a
