KiDeus	NOMpro	Kiedus
ad	VERcjg	avoir
duné	VERppe	donner
escïence	NOMcom	écience
E	CONcoo	et
de	PRE	de
parler	VERinf	parler
bone	ADJqua	bon
eloquence	NOMcom	eslochance
Ne	ADVneg	ne
s'	PROper	soi
en	PROadv	en
deit	VERcjg	devoir
taisir	VERinf	taisir
ne	CONcoo	ne
celer	VERinf	celer
,	PONfbl	,
Ainz	ADVgen	ains
se	PROper	soi
deit	VERcjg	devoir
voluntiers	ADVgen	volontiers
mustrer	VERinf	montrer
.	PONfrt	.

Quant	CONsub	quand
uns	DETndf	un
granz	ADJqua	grant
biens	NOMcom	bien
est	VERcjg	estre
mult	ADVgen	moult
oïz	VERppe	öir
,	PONfbl	,
Dunc	ADVgen	donc
a	PRE	a
primes	ADVgen	prim
est	VERcjg	estre
il	PROper	il
fluriz	ADJqua	fleuri
,	PONfbl	,
E	CONcoo	et
quant	CONsub	cant
loëz	VERppe	louer
est	VERcjg	estre
de	PRE	de
plusurs	PROind	plusieurs
,	PONfbl	,
Dunc	ADVgen	donc
ad	VERcjg	avoir
espandues	VERppe	épandre
ses	DETpos	son
flurs	NOMcom	fleur
.	PONfrt	.

Custume	NOMcom	coutume
fu	VERcjg	estre
as	PRE.DETdef	à.le
ancïens	ADJqua	ancien
,	PONfbl	,
Ceo	PROdem	ce
testimoine	NOMcom	tétimoine
Precïens	NOMpro	Precien
,	PONfbl	,
Es	PRE.DETdef	en
livres	NOMcom	livre
ke	PROrel	que
jadis	ADVgen	jadis
feseient	VERcjg	faire
,	PONfbl	,
Assez	ADVgen	assez
oscurement	ADVgen	oscurement
diseient	VERcjg	dire
Pur	PRE	pour
ceus	PROdem	cil
ki	PROrel	qui
a	PRE	a
venir	VERinf	venir
esteient	VERcjg	être
E	CONcoo	et
ki	PROrel	qui
aprendre	VERinf	aprendre
les	PROper	il
deveient	VERcjg	devoir
,	PONfbl	,
K'	CONsub	que
i	PROadv	i
peüssent	VERcjg	pouvoir
gloser	VERinf	gloser
la	DETdef	le
lettre	NOMcom	lettre
E	CONcoo	et
de	PRE	de
lur	DETpos	leur
sen	NOMcom	sens
le	DETdef	le
surplus	NOMcom	surplus
mettre	VERinf	mettre
.	PONfrt	.

Li	DETdef	le
philesophe	NOMcom	philesophe
le	PROper	il
saveient	VERcjg	savoir
,	PONfbl	,
Par	PRE	par
eus	PROper	eux
meïsmes	ADJind	mëisme
entendeient	VERcjg	entendre
,	PONfbl	,
Cum	CONsub	comme
plus	ADVgen	plus
trespassereit	VERcjg	trépasser
li	DETdef	le
tens	NOMcom	temps
,	PONfbl	,
Plus	ADVgen	plus
serreient	VERcjg	être
sutil	ADJqua	subtil
de	PRE	de
sens	NOMcom	sens
E	CONcoo	et
plus	ADVgen	plus
se	PROper	soi
savreient	VERcjg	savoir
garder	VERinf	garder
De	PRE	de
ceo	PROdem	ce
k'	PROrel	que
i	PROadv	i
ert	VERcjg	être
a	PRE	a
trespasser	VERinf	trespasser
.	PONfrt	.

Ki	PROrel	qui
de	PRE	de
vice	NOMcom	vice
se	PROper	soi
voelt	VERcjg	vouloir
defendre	VERinf	défendre
Estudïer	VERinf	étoudier
deit	VERcjg	devoir
e	CONcoo	et
entendre	VERinf	entendre
A	PRE	a
grevose	ADJqua	grevos
ovre	NOMcom	oeuvre
comencier	VERinf	commencer
:	PONfbl	:
Par	PRE	par
ceo	PROdem	ce
s'	PROper	soi
en	PROadv	en
puet	VERcjg	pöoir
plus	ADVgen	plus
esloignier	VERinf	esloignier
E	CONcoo	et
de	PRE	de
grant	ADJqua	grant
dolur	NOMcom	douleur
delivrer	VERinf	delivrer
.	PONfrt	.

Pur	PRE	pour
ceo	PROdem	ce
començai	VERcjg	commencer
a	PRE	a
penser	VERinf	penser
D'	PRE	de
aukune	DETind	aucun
bone	ADJqua	bon
estoire	NOMcom	estoire
faire	VERinf	faire
E	CONcoo	et
de	PRE	de
latin	NOMcom	latin
en	PRE	en
romaunz	NOMcom	romaon
traire	VERinf	traire
;	PONfbl	;
Mais	CONcoo	mais
ne	ADVneg	ne
me	PROper	je
fust	VERcjg	estre
guaires	ADVgen	guère
de	PRE	de
pris	NOMcom	pris
:	PONfbl	:
Itant	ADVgen	itant
s'	PROper	soi
en	PROadv	en
sunt	VERcjg	être
altre	PROind	autre
entremis	VERppe	entremettre
!	PONfrt	!

Des	PRE.DETdef	de
lais	NOMcom	lai
pensai	VERcjg	penser
,	PONfbl	,
k'	CONsub	que
oïz	VERppe	öir
aveie	VERcjg	avoir
.	PONfrt	.

Ne	ADVneg	ne
dutai	VERcjg	douter
pas	ADVneg	pas
,	PONfbl	,
bien	ADVgen	bien
le	PROper	il
saveie	VERcjg	savoir
,	PONfbl	,
Ke	CONsub	que
pur	PRE	pour
remambrance	NOMcom	remembrance
les	PROper	il
firent	VERcjg	faire
Des	PRE.DETdef	de
aventures	NOMcom	aventure
k'	PROrel	que
il	PROper	il
oïrent	VERcjg	ouïr
Cil	PROdem	cel
ki	PROrel	qui
primes	ADVgen	prim
les	PROper	il
comencierent	VERcjg	commencer
E	CONcoo	et
ki	PROrel	qui
avant	ADVgen	avant
les	PROper	il
enveierent	VERcjg	envoyer
.	PONfrt	.

Plusurs	PROind	plusieurs
en	PROadv	en
ai	VERcjg	avoir
oï	VERppe	öir
conter	VERinf	conter
,	PONfbl	,
Nes	ADVneg.PROper	ne
voil	VERcjg	vouloir
laissier	VERinf	laisser
ne	CONcoo	ne
oblier	VERinf	oblïer
.	PONfrt	.

Rimé	VERppe	rimer
en	PROadv	en
ai	VERcjg	avoir
e	CONcoo	et
fait	VERppe	faire
ditié	VERppe	ditier
,	PONfbl	,
Soventes	DETind	souvent
fiez	NOMcom	fief
en	PROadv	en
ai	VERcjg	avoir
veillié	VERppe	veillier
!	PONfrt	!

En	PRE	en
l'	DETdef	le
honur	NOMcom	honneur
de	PRE	de
vus	PROper	vous
,	PONfbl	,
nobles	ADJqua	noble
reis	NOMcom	roi
,	PONfbl	,
Ki	PROrel	qui
tant	ADVgen	tant
estes	VERcjg	estre
pruz	ADJqua	preux
e	CONcoo	et
curteis	ADJqua	courtois
,	PONfbl	,
A	PRE	a
ki	PROrel	qui
tute	DETind	tout
joie	NOMcom	joie
s'	PROper	soi
encline	VERcjg	encliner
E	CONcoo	et
en	PRE	en
ki	PROrel	qui
quoer	NOMcom	coeur
tuz	DETind	tous
biens	NOMcom	bien
racine	VERcjg	raciner
,	PONfbl	,
M'	PROper	je
entremis	VERcjg	entremetre
des	PRE.DETdef	de.le
lais	NOMcom	lai
assembler	VERinf	assembler
,	PONfbl	,
Par	PRE	par
rime	NOMcom	rime
faire	VERinf	faire
e	CONcoo	et
reconter	VERinf	reconter
.	PONfrt	.

En	PRE	en
mun	DETpos	mon
quoer	NOMcom	coeur
pensoe	VERcjg	penser
e	CONcoo	et
diseie	VERcjg	dire
,	PONfbl	,
Sire	NOMcom	seignor
,	PONfbl	,
kes	CONsub	que
vos	PROper	vos
presentereie	VERcjg	présenter
.	PONfrt	.

Si	CONsub	si
vos	PROper	vos
les	PROper	il
plaist	VERcjg	plaire
a	PRE	a
receveir	VERinf	recevoir
,	PONfbl	,
Mult	ADVgen	moult
me	PROper	je
ferez	VERcjg	faire
grant	ADJqua	grant
joie	NOMcom	joie
aveir	VERinf	avoir
,	PONfbl	,
A	PRE	a
tuz	DETind	tous
jurz	NOMcom	jour
mais	ADVgen	mais
en	PROadv	en
serrai	VERcjg	sëoir
liee	ADJqua	lié
.	PONfrt	.

Ne	ADVneg	ne
me	PROper	je
tenez	VERcjg	tenir
a	PRE	a
surquidiee	NOMcom	surcuide
Si	ADVgen	si
vos	PROper	vos
os	VERcjg	oser
faire	VERinf	faire
icest	DETdem	cist
present	NOMcom	présent
.	PONfrt	.

Ore	ADVgen	or
oëz	VERcjg	ouïr
le	DETdef	le
comencement	NOMcom	commencement
!	PONfrt	!

Kide	NOMpro	Kide
bone	ADJqua	bon
mateire	NOMcom	matiere
traite	VERcjg	traiter
,	PONfbl	,
Mult	ADVgen	moult
li	PROper	il
peise	VERcjg	peser
si	ADVgen	si
bien	ADVgen	bien
n'	ADVneg	ne
est	VERcjg	estre
faite	VERppe	faire
.	PONfrt	.

Oëz	VERcjg	ouïr
,	PONfbl	,
seignurs	NOMcom	seigneur
,	PONfbl	,
ke	CONsub	que
dit	VERcjg	dire
Marie	NOMpro	Marie
,	PONfbl	,
Ki	PROrel	qui
en	PRE	en
sun	DETpos	son
tens	NOMcom	temps
pas	ADVneg	pas
ne	ADVneg	ne
s'	PROper	soi
oblie	VERcjg	oblïer
.	PONfrt	.

Celui	PROdem	cel
deivent	VERcjg	devoir
la	DETdef	le
gent	NOMcom	gent
