MAISTRE	NOMcom	maistre
PIERRE	NOMcom	pierre
,	PONfbl	,
commence	VERcjg	commencer
Saincte	ADJqua	saint
Marie	NOMpro	Marie
!	PONfrt	!

Guillemette	NOMpro	Guillemet
,	PONfbl	,
pour	PRE	pour
quelque	DETind	quel
paine	NOMcom	peine
que	PROrel	que
je	PROper	je
mette	VERcjg	mettre
a	PRE	a
cabasser	VERinf	chabasser
n'	ADVneg	ne
a	PRE	a
ramasser	VERinf	ramasser
,	PONfbl	,
nous	PROper	nous
ne	ADVneg	ne
pouons	VERcjg	pouvoir
rien	PROind	rien
amasser	VERinf	amasser
;	PONfbl	;
Or	ADVgen	or
vis	VERcjg	vivre
je	PROper	je
que	CONsub	que
j'	PROper	je
avocassoye	VERcjg	avocasser
.	PONfrt	.

GUILLEMETTE	VERcjg	guillement
Par	PRE	par
Nostre	DETpos	notre
Dame	NOMcom	dame
,	PONfbl	,
je	PROper	je
y	PROadv	y
pensoye	VERcjg	penser
,	PONfbl	,
dont	PROrel	dont
on	PROind	on
chante	VERcjg	chanter
en	PRE	en
advocassaige	NOMcom	avocasage
;	PONfbl	;
mais	CONcoo	mais
on	PROind	on
ne	ADVneg	ne
vous	PROper	vous
tient	VERcjg	tenir
pas	ADVneg	pas
si	ADVgen	si
saige	ADJqua	sage
des	PRE.DETdef	de.le
quatre	ADJcar	quatre
pars	NOMcom	part
comme	CONsub	comme
on	PROind	on
soulloit	VERcjg	souloir
.	PONfrt	.

Je	PROper	je
vis	VERcjg	vivre
que	CONsub	que
chascun	PROind	chascun
vous	PROper	vous
vouloit	VERcjg	vouloir
avoir	VERinf	avoir
pour	PRE	pour
gangner	VERinf	ganger
sa	DETpos	son
querelle	NOMcom	querelle
;	PONfbl	;
maintenant	ADVgen	maintenant
chascun	PROind	chascun
vous	PROper	vous
appelle	VERcjg	appeler
partout	ADVgen	partout
advocat	VERcjg	avocher
dessoubz	PRE	dessous
l'	DETdef	le
orme	NOMcom	orme
