Jute	VERcjg	jouter
a	PRE	a
sain	ADJqua	sain
e	CONcoo	et
a	PRE	a
emferm	NOMcom	enferme
pur	PRE	pour
estre	VERinf	estre
soluble	ADJqua	souble
:	PONfbl	:
Pernez	VERcjg	prendre
les	DETdef	le
arraces	NOMcom	arrace
e	CONcoo	et
la	DETdef	le
plantaine	NOMcom	plantaine
e	CONcoo	et
la	DETdef	le
centoine	NOMcom	centoine
e	CONcoo	et
la	DETdef	le
morele	NOMcom	morele
e	CONcoo	et
le	DETdef	le
fenuil	NOMcom	fenui
e	CONcoo	et
des	PRE.DETdef	de.le
cenillés	NOMcom	cenellet
e	CONcoo	et
des	PRE.DETdef	de.le
orties	NOMcom	ortie
e	CONcoo	et
des	PRE.DETdef	de.le
ciuns	NOMcom	cime
de	PRE	de
la	DETdef	le
runce	NOMcom	ronce
e	CONcoo	et
des	PRE.DETdef	de.le
cherlokes	NOMcom	cherloche
e	CONcoo	et
metez	VERcjg	metre
buillir	VERinf	bouillir
ensemble	ADVgen	ensemble
.	PONfrt	.

E	CONcoo	et
cum	CONsub	comme
il	PROper	il
avrat	VERcjg	avoir
builli	VERppe	bouillir
un	DETndf	un
undee	NOMcom	ondée
,	PONfbl	,
trahez	VERcjg	trahir
les	PROper	il
,	PONfbl	,
sis	DETpos	son
hachez	NOMcom	hachet
sur	PRE	sur
un	DETndf	un
ais	NOMcom	ai
e	CONcoo	et
lavez	VERppe	laver
.	PONfrt	.

E	CONcoo	et
pernez	VERcjg	prendre
puis	ADVgen	puis
,	PONfbl	,
sis	ADVgen.PROper	si.le
metez	VERcjg	metre
buillir	VERinf	bouillir
od	PRE	o
char	NOMcom	char
fresche	ADJqua	frois
,	PONfbl	,
sis	ADVgen.PROper	si.le
mangez	VERcjg	manger
devant	PRE	devant
les	DETdef	le
autres	ADJind	autre
viandes	NOMcom	viande
e	CONcoo	et
serez	VERcjg	être
tut	ADVgen	tout
solubles	ADJqua	soluble
e	CONcoo	et
sains	ADJqua	saint
.	PONfrt	.

Altre	PROind	autre
pur	PRE	pour
cursun	NOMcom	courson
:	PONfbl	:
Pernez	VERcjg	prendre
le	DETdef	le
bren	NOMcom	brien
del	PRE.DETdef	de
furment	NOMcom	fourment
,	PONfbl	,
sil	ADVgen.PROper	si.le
lavez	VERcjg	laver
en	PRE	en
un	DETndf	un
vaisel	NOMcom	vaisseau
e	CONcoo	et
sil	ADVgen.PROper	si.le
culez	NOMcom	culet
en	PRE	en
un	DETndf	un
autre	ADJind	autre
vaisel	NOMcom	vaisseau
e	CONcoo	et
laissez	VERcjg	laisser
aseer	VERinf	assëoir
.	PONfrt	.

Puis	ADVgen	puis
si	ADVgen	si
purez	VERcjg	pouvoir
l'	DETdef	le
eue	NOMcom	eau
.	PONfrt	.

De	PRE	de
ço	PROdem	ce
que	CONsub	que
remaindra	VERcjg	remanoir
faites	VERcjg	faire
mortrels	NOMcom	mortrel
e	CONcoo	et
dunez	VERcjg	donner
al	PRE.DETdef	à.le
malade	NOMcom	malade
a	PRE	a
manger	VERinf	manger
par	PRE	par
treis	DETcar	trois
feiz	NOMcom	fois
u	CONcoo	ou
par	PRE	par
quatre	PROcar	catre
.	PONfrt	.

Altre	PROind	autre
:	PONfbl	:
Pernez	VERcjg	prendre
le	DETdef	le
furmage	NOMcom	formage
de	PRE	de
la	DETdef	le
chevre	NOMcom	chevre
freis	ADJqua	frais
,	PONfbl	,
si	ADVgen	si
faites	VERcjg	faire
suppes	NOMcom	soupe
en	PRE	en
l'	DETdef	le
eue	NOMcom	eau
del	PRE.DETdef	de
furmagee	NOMcom	formage
dunez	VERcjg	donner
lui	PROper	il
a	PRE	a
mangier	VERinf	mangier
.	PONfrt	.

A	PRE	a
hume	NOMcom	homme
ki	PROrel	qui
ad	VERcjg	avoir
la	DETdef	le
curance	NOMcom	courance
:	PONfbl	:
Pernez	VERcjg	prendre
un	DETndf	un
soc	NOMcom	soc
de	PRE	de
fer	NOMcom	fer
,	PONfbl	,
sil	ADVgen.PROper	si.le
chalfez	NOMcom	chaufé
bien	ADVgen	bien
el	PROper	il
fu	VERcjg	estre
.	PONfrt	.

Puis	ADVgen	puis
si	ADVgen	si
pernez	VERcjg	prendre
le	DETdef	le
sumet	NOMcom	sumet
de	PRE	de
la	DETdef	le
runce	NOMcom	ronce
et	CONcoo	et
metez	VERcjg	metre
sur	PRE	sur
la	DETdef	le
clume	NOMcom	clume
e	CONcoo	et
le	DETdef	le
cultre	NOMcom	coutre
chaud	ADJqua	chaut
desure	ADVgen	dessure
e	CONcoo	et
premez	VERcjg	premer
fort	ADVgen	fort
od	PRE	o
les	DETdef	le
tenailles	NOMcom	tenaille
e	CONcoo	et
l'	DETdef	le
eue	NOMcom	eau
ki	PROrel	qui
en	PROadv	en
curra	VERcjg	courir
dunez	VERcjg	donner
lui	PROper	il
a	PRE	a
beivre	VERinf	boire
.	PONfrt	.

Ad	PRE	à
vers	NOMcom	vers
que	PROrel	que
li	DETdef	le
emfant	NOMcom	enfant
unt	VERcjg	avoir
el	PRE.DETdef	en
ventre	NOMcom	ventre
:	PONfbl	:
Pernez	VERcjg	prendre
del	PRE.DETdef	de
cerfuil	NOMcom	cerfuil
,	PONfbl	,
temprez	ADVgen	temprest
od	PRE	o
le	DETdef	le
vin	NOMcom	vin
egre	ADJqua	aigre
,	PONfbl	,
si	ADVgen	si
li	PROper	il
dunez	VERcjg	donner
a	PRE	a
manger	VERinf	manger
al	PRE.DETdef	à.le
matin	NOMcom	matin
e	CONcoo	et
del	PRE.DETdef	de
vin	NOMcom	vin
egre	ADJqua	aigre
a	PRE	a
beivre	VERinf	boire
.	PONfrt	.

As	PRE.DETdef	a
cochuns	NOMcom	comchon
ocire	VERinf	occire
,	PONfbl	,
ço	PROdem	ce
sunt	VERcjg	être
ensement	ADVgen	ensement
vers	NOMcom	vers
:	PONfbl	:
Pernez	VERcjg	prendre
le	PROper	il
jus	ADVgen	jus
del	PRE.DETdef	de
aristologe	NOMcom	aristolie
e	CONcoo	et
de	PRE	de
centoine	NOMcom	centoine
e	CONcoo	et
de	PRE	de
la	DETdef	le
gentiene	NOMcom	gentine
e	CONcoo	et
de	PRE	de
la	DETdef	le
foille	NOMcom	feille
del	PRE.DETdef	de
peschier	VERinf	peschier
e	CONcoo	et
del	PRE.DETdef	de
aloine	NOMcom	aloine
tant	ADVgen	tant
del	PRE.DETdef	de
un	PROind	un
cum	CONsub	comme
del	PRE.DETdef	de
autre	PROind	autre
