ICI	ADVgen	ice
COMENCE	VERcjg	commander
LE	DETdef	le
ROUMANZ	NOMpro	Rouam
DE	PRE	de
LA	DETdef	le
ROSE	NOMpro	Rose
Aucunes	DETind	aucun
genz	NOMcom	gent
dient	VERcjg	dire
qu'	CONsub	que
en	PRE	en
songes	NOMcom	songe
n'	ADVneg	ne
a	VERcjg	avoir
se	CONsub	se
fables	NOMcom	fable
non	ADVneg	non
et	CONcoo	et
mençonges	NOMcom	mensonge
;	PONfbl	;
mes	CONcoo	mais
l'en	PROind	loin
puet	VERcjg	pöoir
tex	DETind	tel
songes	NOMcom	songe
songier	VERinf	songier
qui	PROrel	que
ne	ADVneg	ne
sont	VERcjg	estre
mie	ADVneg	mie
mençongier	ADJqua	mensongier
,	PONfbl	,
ainz	ADVgen	ainz
sont	VERcjg	estre
aprés	ADVgen	après
bien	ADVgen	bien
aparant	VERppa	apparoir
,	PONfbl	,
si	ADVgen	si
en	PROadv	en
puis	VERcjg	pöoir
bien	ADVgen	bien
traire	VERinf	traire
a	PRE	a
garant	NOMcom	garant
un	DETndf	un
auctor	NOMcom	auter
qui	PROrel	que
ot	VERcjg	avoir
non	NOMcom	nom
Macrobes	NOMpro	Macrobe
,	PONfbl	,
qui	PROrel	que
ne	ADVneg	ne
tint	VERcjg	tenir
pas	ADVneg	pas
songes	NOMcom	songe
a	PRE	a
lobes	NOMcom	lobe
,	PONfbl	,
ancois	ADVgen	ainçois
escrit	VERppe	écrire
l'	DETdef	le
avision	NOMcom	avision
qui	PROrel	que
avint	VERcjg	advenir
au	PRE.DETdef	a
roi	NOMcom	roi
Scypion	NOMpro	Scipion
.	PONfrt	.

Qui	PROrel	que
c'	PROrel	que
onques	ADVgen	onque
cuit	VERcjg	cuidier
ne	CONcoo	ne
qui	PROrel	que
que	PROrel	que
die	VERcjg	dire
qu'	CONsub	que
il	PROper	il
est	VERcjg	estre
folor	NOMcom	folor
et	CONcoo	et
musardie	NOMcom	musardie
de	PRE	de
croire	VERinf	croire
que	CONsub	que
songes	NOMcom	songe
aviegne	VERcjg	avenir
,	PONfbl	,
qui	PROrel	que
se	PROper	soi
voudra	VERcjg	vouloir
,	PONfbl	,
por	PRE	por
fol	ADJqua	fol
m'	PROper	je
en	PROadv	en
tiegne	VERcjg	tenir
,	PONfbl	,
quar	CONcoo	car
endroit	PRE	endroit
moi	PROper	je
ai	VERcjg	avoir
ge	PROper	je
fiance	NOMcom	fïance
que	CONsub	que
songes	NOMcom	songe
est	VERcjg	estre
senefiance	NOMcom	signifiance
des	PRE.DETdef	de.le
biens	NOMcom	bien
as	PRE.DETdef	à.le
genz	NOMcom	gent
et	CONcoo	et
des	PRE.DETdef	de.le
anuiz	NOMcom	ennui
,	PONfbl	,
que	CONsub	que
li	DETdef	le
plusor	PROind	plusor
songent	VERcjg	songier
de	PRE	de
nuiz	NOMcom	nuit
maintes	DETind	maint
choses	NOMcom	chose
covertement	ADVgen	couvertement
que	PROrel	que
l'en	PROind	loin
voit	VERcjg	vëoir
puis	ADVgen	puis
apertement	ADVgen	apartement
.	PONfrt	.

El	PRE.DETdef	en
vintieme	ADJord	vintième
an	NOMcom	an
de	PRE	de
mon	DETpos	mon
aage	NOMcom	ëage
,	PONfbl	,
el	PRE.DETdef	en
point	NOMcom	point
qu'	PROrel	que
Amors	NOMcom	amor
prent	VERcjg	prendre
le	DETdef	le
paage	NOMcom	pëage
des	PRE.DETdef	de.le
jones	ADJqua	jeune
genz	NOMcom	gent
,	PONfbl	,
couchier	VERinf	couchier
m'	PROper	je
aloie	VERcjg	aler
une	DETndf	un
nuit	NOMcom	nuit
,	PONfbl	,
si	ADVgen	si
con	CONsub	come
je	PROper	je
souloie	VERcjg	souloir
,	PONfbl	,
et	CONcoo	et
me	PROper	je
dormoie	VERcjg	dormir
mout	ADVgen	mout
forment	ADVgen	fortement
,	PONfbl	,
et	CONcoo	et
vi	VERcjg	vëoir
un	DETndf	un
songe	NOMcom	songe
en	PRE	en
mon	DETpos	mon
dormant	NOMcom	dormant
qui	PROrel	que
mout	ADVgen	mout
fu	VERcjg	estre
biaus	ADJqua	bel
et	CONcoo	et
mout	ADVgen	mout
me	PROper	je
plot	VERcjg	plaire
;	PONfbl	;
mes	CONcoo	mais
en	PRE	en
ce	DETdem	ce
songe	NOMcom	songe
onques	ADVgen	onque
riens	PROind	rien
n'	ADVneg	ne
ot	VERcjg	avoir
qui	PROrel	que
tretot	ADVgen	tretot
avenu	VERppe	avenir
ne	ADVneg	ne
soit	VERcjg	estre
si	ADVgen	si
con	CONsub	come
li	DETdef	le
songes	NOMcom	songe
recensoit	VERcjg	recensir
.	PONfrt	.

Or	ADVgen	or
veil	VERcjg	vouloir
cel	DETdem	cil
