Seignor	NOMcom	seignor
,	PONfbl	,
or	ADVgen	or
escoutez	VERcjg	escouter
,	PONfbl	,
que	CONcoo	que
Diex	NOMpro	Dieu
vos	PROper	vos
soit	VERcjg	estre
amis	NOMcom	ami
,	PONfbl	,
S'	ADVgen	si
orroiz	VERcjg	öir
des	PRE.DETdef	de.le
Cordeliers	NOMcom	cordelier
,	PONfbl	,
commant	ADVsub	comment
chacuns	PROind	chacun
a	VERcjg	avoir
mis	VERppe	metre
Son	DETpos	son
cors	NOMcom	corps
a	PRE	a
grant	ADJqua	grant
martire	NOMcom	martire
contre	PRE	contre
les	DETdef	le
anemis	NOMcom	ennemi
Qui	PROrel	que
sont	VERcjg	estre
,	PONfbl	,
plus	ADVgen	plus
de	PRE	de
cent	DETcar	cent
foiz	NOMcom	foiz
le	DETdef	le
jor	NOMcom	jor
,	PONfbl	,
a	PRE	a
nos	PROper	nos
tramis	VERppe	tramettre
.	PONfrt	.

Or	ADVgen	or
escotez	VERcjg	escouter
avantdont	PRE	avantdont
ces	DETdem	ce
gens	NOMcom	gens
sont	VERcjg	estre
venu	VERppe	venir
:	PONfbl	:
Fil	NOMcom	fils
a	PRE	a
roi	NOMcom	roi
et	CONcoo	et
a	PRE	a
conte	NOMcom	conte
sont	VERcjg	estre
Menor	ADJqua	menor
devenu	VERppe	devenir
,	PONfbl	,
C'	CONcoo	que
au	PRE.DETdef	a
siegle	NOMcom	siecle
estoient	VERcjg	être
gros	ADJqua	gros
,	PONfbl	,
or	ADVgen	or
sont	VERcjg	estre
isi	ADVgen	issi
menu	ADJqua	menu
Qu'	CONsub	que
il	PROper	il
sont	VERcjg	estre
saint	ADJqua	saint
de	PRE	de
la	DETdef	le
corde	NOMcom	corde
et	CONcoo	et
s'	PROper	soi
ont	VERcjg	avoir
tuit	DETind	tot
lor	DETpos	lor
pié	NOMcom	pié
nu	ADJqua	nu
.	PONfrt	.

Il	PROimp	il
pert	VERcjg	perdre
bien	ADVgen	bien
que	CONsub	que
lor	DETpos	lor
Ordre	NOMpro	Ordre
Nostre	DETpos	notre
Sires	NOMcom	sire
ama	VERcjg	amer
.	PONfrt	.

Quant	CONsub	quand
saint	ADJqua	saint
François	NOMpro	Français
transsi	VERcjg	trensir
,	PONfbl	,
Jehucrist	NOMpro	Jéhucrist
reclama	VERcjg	reclamer
:	PONfbl	:
En	PRE	en
