LETTRE	NOMpro	Lettre
DE	PRE	de
JEAN	NOMpro	Jean
SARRASIN	NOMpro	Sarrasin
A	VERcjg	avoir
NICOLAS	NOMpro	Nicolas
ARRODE	NOMpro	Arronde
A	PRE	a
seigneur	NOMcom	seigneur
Nicolas	NOMpro	Nicolas
Arrode	NOMpro	Arrode
Jehans	NOMpro	Jean
Sarrazins	NOMpro	Sarrasin
,	PONfbl	,
chambrelens	NOMcom	chambrelen
le	DETdef	le
roy	NOMcom	roi
de	PRE	de
France	NOMpro	France
,	PONfbl	,
salus	NOMcom	salut
et	CONcoo	et
bonne	ADJqua	bon
amour	NOMcom	amour
.	PONfrt	.

Je	PROper	je
vous	PROper	vous
fais	VERcjg	faire
a	PRE	a
savoir	VERinf	savoir
que	CONsub	que
li	DETdef	le
roys	NOMcom	roi
et	CONcoo	et
la	DETdef	le
royne	NOMcom	reine
,	PONfbl	,
et	CONcoo	et
li	DETdef	le
quens	NOMcom	comte
d'	PRE	de
Artois	NOMpro	Artois
,	PONfbl	,
et	CONcoo	et
li	DETdef	le
quens	NOMcom	comte
d'	PRE	de
Anjou	NOMpro	Anjou
et	CONcoo	et
sa	DETpos	son
femme	NOMcom	femme
,	PONfbl	,
et	CONcoo	et
je	PROper	je
,	PONfbl	,
sommes	VERcjg	être
haitié	ADJqua	haité
dedens	PRE	dedans
la	DETdef	le
cité	NOMcom	cité
de	PRE	de
Damiete	NOMpro	Damiet
que	CONsub	que
Dieus	NOMpro	Dieu
,	PONfbl	,
par	PRE	par
son	DETpos	son
miracle	NOMcom	miracle
,	PONfbl	,
par	PRE	par
sa	DETpos	son
misericorde	NOMcom	miséricorde
et	CONcoo	et
par	PRE	par
sa	DETpos	son
pitié	NOMcom	pitié
,	PONfbl	,
rendi	VERcjg	rendre
a	PRE	a
la	DETdef	le
crestienté	NOMcom	chrétienté
le	DETdef	le
dimenche	NOMcom	dimanche
de	PRE	de
la	DETdef	le
quinsainne	NOMcom	quinsaine
de	PRE	de
Pentecouste	NOMpro	Pentecoute
.	PONfrt	.

Aprés	PRE	après
ce	PROdem	ce
,	PONfbl	,
je	PROper	je
vous	PROper	vous
fais	VERcjg	faire
a	PRE	a
savoir	VERinf	savoir
en	PRE	en
quele	DETrel	quel
maniere	NOMcom	manière
ce	PROdem	ce
fu	VERcjg	estre
.	PONfrt	.

Il	PROimp	il
avint	VERcjg	advenir
,	PONfbl	,
quant	CONsub	cant
li	DETdef	le
roys	NOMcom	roi
et	CONcoo	et
li	DETdef	le
os	NOMcom	os
de	PRE	de
la	DETdef	le
crestienté	NOMcom	chrétienté
furent	VERcjg	estre
entré	VERppe	entrer
es	PRE.DETdef	en.le
nez	NOMcom	nef
a	PRE	a
Aiguemorte	NOMpro	Aguemorte
,	PONfbl	,
que	CONsub	que
nous	PROper	nous
feismes	VERcjg	faire
voile	NOMcom	voile
le	DETdef	le
jour	NOMcom	jour
de	PRE	de
feste	NOMcom	fête
saint	ADJqua	saint
Augustin	NOMpro	Augustin
qui	PROrel	que
est	VERcjg	estre
en	PRE	en
la	DETdef	le
fin	NOMcom	fin
d'	PRE	de
aoust	NOMcom	août
;	PONfbl	;
et	CONcoo	et
arrivames	VERcjg	arriver
en	PRE	en
l'	DETdef	le
isle	NOMcom	île
de	PRE	de
Cipre	NOMpro	Cipre
quinze	DETcar	quinze
jours	NOMcom	jour
devant	PRE	devant
la	DETdef	le
feste	NOMcom	fête
saint	ADJqua	saint
Remi	NOMpro	Rémi
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
a	PRE	a
savoir	VERinf	savoir
le	DETdef	le
jour	NOMcom	jour
de	PRE	de
la	DETdef	le
feste	NOMcom	fête
saint	ADJqua	saint
Lambert	NOMpro	Lambert
.	PONfrt	.

Li	DETdef	le
quens	NOMcom	comte
d'	PRE	de
Angiers	NOMpro	Angiers
descendi	VERcjg	descendre
a	PRE	a
la	DETdef	le
cité	NOMcom	cité
de	PRE	de
Lymeçon	NOMpro	Limeçon
,	PONfbl	,
et	CONcoo	et
li	DETdef	le
roys	NOMcom	roi
et	CONcoo	et
nous	PROper	nous
,	PONfbl	,
qui	PROrel	que
avec	PRE	avec
lui	PROper	il
estions	VERcjg	estre
en	PRE	en
sa	DETpos	son
nef	NOMcom	nef
,	PONfbl	,
que	PROrel	que
on	PROind	on
apeloit	VERcjg	apeler
la	DETdef	le
Monjoie	NOMpro	Montjoie
,	PONfbl	,
descendismes	VERcjg	descendre
l'	DETdef	le
andemain	NOMcom	endemain
bien	ADVgen	bien
main	NOMcom	main
,	PONfbl	,
et	CONcoo	et
quens	NOMcom	comte
d'	PRE	de
Artois	NOMpro	Artois
entor	PRE	entour
tierce	NOMcom	tierce
a	PRE	a
ce	DETdem	ce
port	NOMcom	port
meismes	ADJind	même
.	PONfrt	.

Nous	PROper	nous
fusmes	VERcjg	estre
en	PRE	en
cele	DETdem	cil
isle	NOMcom	île
a	PRE	a
mout	ADVgen	mout
pou	ADVgen	peu
de	PRE	de
gent	NOMcom	gent
,	PONfbl	,
et	CONcoo	et
sejournasmesiluec	NOMcom	séjournesseil
jusques	PRE	jusque
a	PRE	a
l'	DETdef	le
Ascention	NOMpro	Ascention
pour	PRE	pour
atendre	VERinf	atendre
l'	DETdef	le
estoire	NOMcom	estoire
qui	PROrel	que
n'	ADVneg	ne
estoit	VERcjg	estre
mie	ADVneg	mie
venue	VERppe	venir
.	PONfrt	.

Il	PROimp	il
avint	VERcjg	advenir
que	CONsub	que
,	PONfbl	,
au	PRE.DETdef	a
Noel	NOMpro	Nöel
devant	ADVgen	devant
,	PONfbl	,
que	CONsub	que
li	DETdef	le
uns	PROind	un
des	PRE.DETdef	de.le
grans	ADJqua	grand
princes	NOMcom	prince
des	PRE.DETdef	de.le
Tartarins	NOMpro	Tartarin
que	PROrel	que
on	PROind	on
apeloit	VERcjg	apeler
Elteltay	NOMpro	Euteltay
,	PONfbl	,
et	CONcoo	et
crestiens	NOMcom	chrétien
estoit	VERcjg	estre
,	PONfbl	,
envoia	VERcjg	envoyer
au	PRE.DETdef	a
roy	NOMcom	roi
de	PRE	de
France	NOMpro	France
en	PRE	en
Nycoisie	NOMpro	Nicoisie
,	PONfbl	,
en	PRE	en
Cypre	NOMpro	Chipre
,	PONfbl	,
ses	DETpos	son
messages	NOMcom	message
.	PONfrt	.

Li	DETdef	le
roys	NOMcom	roi
envoia	VERcjg	envoyer
a	PRE	a
ces	DETdem	ce
messages	NOMcom	message
frere	NOMcom	frère
Andrieu	NOMpro	Andrieu
de	PRE	de
l'	DETdef	le
ordre	NOMcom	ordre
saint	ADJqua	saint
Jaque	NOMpro	Jacque
.	PONfrt	.

Et	CONcoo	et
li	DETdef	le
message	NOMcom	message
,	PONfbl	,
qui	PROrel	que
rien	PROind	rien
ne	ADVneg	ne
savoient	VERcjg	savoir
cui	PROrel	que
on	PROind	on
y	PROadv	y
deust	VERcjg	devoir
envoier	VERinf	envoiier
,	PONfbl	,
le	PROper	il
connurent	VERcjg	conoistre
ausi	ADVgen	aussi
bien	ADVgen	bien
,	PONfbl	,
et	CONcoo	et
freres	NOMcom	frère
Andrieus	NOMpro	Andrieu
eulz	PROper	eux
,	PONfbl	,
con	CONsub	come
nous	PROper	nous
connoistriens	VERcjg	connaître
li	DETdef	le
uns	PROind	un
l'	DETdef	le
autre	PROind	autre
.	PONfrt	.

Li	DETdef	le
roys	NOMcom	roi
fist	VERcjg	faire
venir	VERinf	venir
ces	DETdem	ce
messages	NOMcom	message
devant	PRE	devant
lui	PROper	il
,	PONfbl	,
et	CONcoo	et
parlerent	VERcjg	parler
assez	ADVgen	assez
en	PRE	en
lor	DETpos	lor
langages	NOMcom	langage
.	PONfrt	.

Et	CONcoo	et
freres	NOMcom	frère
Andrius	NOMpro	Andrius
disoit	VERcjg	dire
le	DETdef	le
françois	NOMcom	français
au	PRE.DETdef	a
roy	NOMcom	roi
,	PONfbl	,
que	CONsub	que
li	DETdef	le
plus	ADVgen	plus
grans	ADJqua	grand
princes	NOMcom	prince
des	PRE.DETdef	de.le
Tartarins	NOMpro	Tartarin
avoit	VERcjg	avoir
esté	VERppe	être
crestiens	ADJqua	chrétien
le	DETdef	le
jour	NOMcom	jour
de	PRE	de
la	DETdef	le
Thiphaigne	NOMpro	Thiphagne
et	CONcoo	et
grant	ADJqua	grant
plenté	NOMcom	plenté
de	PRE	de
Tartarins	NOMpro	Tartarin
avecques	PRE	avec
lui	PROper	il
,	PONfbl	,
meismement	ADVgen	mêmement
des	PRE.DETdef	de.le
plus	ADVgen	plus
grans	ADJqua	grand
seigneurs	NOMcom	seigneur
.	PONfrt	.

Encore	ADVgen	encore
disoient	VERcjg	dire
il	PROper	il
que	CONsub	que
Etheltay	NOMpro	Etheltay
,	PONfbl	,
a	PRE	a
tout	DETind	tout
son	DETpos	son
ost	NOMcom	ost
des	PRE.DETdef	de.le
Tartarins	NOMpro	Tartarin
,	PONfbl	,
seroit	VERcjg	estre
en	PRE	en
l'	DETdef	le
aide	NOMcom	aide
au	PRE.DETdef	a
roy	NOMcom	roi
de	PRE	de
France	NOMpro	France
et	CONcoo	et
de	PRE	de
la	DETdef	le
crestienté	NOMcom	chrétienté
encontre	PRE	encontre
le	DETdef	le
caliphe	NOMcom	calipe
de	PRE	de
Baudas	NOMpro	Baudas
et	CONcoo	et
encontre	PRE	encontre
les	DETdef	le
Sarrazins	NOMpro	Sarrasin
.	PONfrt	.

Car	CONcoo	car
il	PROper	il
entendroit	VERcjg	entendre
a	PRE	a
vengier	VERinf	venger
les	DETdef	le
grans	ADJqua	grand
hontes	NOMcom	honte
