Ici	ADVgen	ici
comencet	VERcjg	commencer
li	DETdef	le
promiers	ADJord	premier
sermons	NOMcom	sermon
saint	ADJqua	saint
Bernart	NOMpro	Bernard
sor	PRE	sor
les	DETdef	le
Cantikes	NOMpro	Cantique
A	PRE	a
vos	PROper	vos
,	PONfbl	,
sanior	NOMcom	seigneur
frere	NOMcom	frère
,	PONfbl	,
doit	VERcjg	devoir
om	PROind	on
altres	DETind	autre
choses	NOMcom	chose
u	CONcoo	ou
,	PONfbl	,
certes	ADVgen	certes
,	PONfbl	,
altrement	ADVgen	autrement
dire	VERinf	dire
ke	CONsub	que
az	PRE.DETdef	à.le
altres	PROind	autre
del	PRE.DETdef	de
secle	NOMcom	siècle
.	PONfrt	.

A	PRE	a
ceaz	PROdem	cil
,	PONfbl	,
vraiement	ADVgen	vraiment
,	PONfbl	,
donet	VERcjg	donner
lait	NOMcom	lait
a	PRE	a
boivre	VERinf	boivre
,	PONfbl	,
nient	ADVgen	néant
mangier	VERinf	mangier
,	PONfbl	,
cil	PROdem	cel
ki	PROrel	qui
enseniant	VERppa	enseigner
tient	VERcjg	tenir
la	DETdef	le
forme	NOMcom	forme
de	PRE	de
l'	DETdef	le
Apostle	NOMcom	apôtre
;	PONfbl	;
car	CONcoo	car
icil	PROdem	cil
meïmes	ADJind	mëisme
ensenget	VERcjg	enseigner
par	PRE	par
son	DETpos	son
exemple	NOMcom	exemple
que	PROrel	que
l'	DETdef	le
on	PROind	on
doit	VERcjg	devoir
az	PRE.DETdef	à.le
spirituéz	NOMcom	spiritué
spiritueiz	ADJqua	spirituel
choses	NOMcom	chose
dire	VERinf	dire
.	PONfrt	.

De	PRE	de
vos	PROper	vos
avons	VERcjg	avoir
nos	PROper	nos
fiance	NOMcom	fïance
ke	PROrel	que
vos	PROper	vos
teil	ADJind	tel
estes	VERcjg	estre
,	PONfbl	,
se	CONsub	se
vos	PROper	vos
ja	ADVgen	ja
de	PRE	de
lonz	ADVgen	loin
n'	ADVneg	ne
estes	VERcjg	estre
ensongiét	VERppe	ensonger
en	PRE	en
vain	ADJqua	vain
es	PRE.DETdef	en.le
celestes	ADJqua	céleste
estuides	NOMcom	étude
,	PONfbl	,
et	CONcoo	et
travailhiét	VERppe	travailler
de	PRE	de
sens	NOMcom	sens
,	PONfbl	,
et	CONcoo	et
pensét	VERppe	penser
avez	VERcjg	avoir
en	PRE	en
la	DETdef	le
loi	NOMcom	loi
Deu	NOMpro	Dieu
et	CONcoo	et
jor	NOMcom	jor
et	CONcoo	et
nuit	NOMcom	nuit
.	PONfrt	.

Giers	ADVgen	gieres
,	PONfbl	,
apareilhiez	VERcjg	appareiller
vos	DETpos	votre
joises	NOMcom	joise
,	PONfbl	,
nient	ADVgen	néant
a	PRE	a
oés	NOMcom	ues
lait	ADJqua	lait
mais	CONcoo	mais
a	PRE	a
oés	NOMcom	ues
pain	NOMcom	pain
.	PONfrt	.

Un	DETndf	un
pain	NOMcom	pain
at	VERcjg	avoir
devers	PRE	devers
Salemon	NOMpro	Salemon
et	CONcoo	et
cil	PROdem	cel
est	VERcjg	estre
splendianz	VERppa	splender
et	CONcoo	et
mult	ADVgen	moult
saverous	ADJqua	saverux
.	PONfrt	.

Del	PRE.DETdef	de
livre	NOMcom	livre
di	VERcjg	dire
ge	PROper	je
ki	PROrel	qui
at	VERcjg	avoir
nomCantikes	NOMcom	nomantique
des	PRE.DETdef	de.le
Cantikes	NOMcom	chantique
.	PONfrt	.

Soit	VERcjg	estre
fors	ADVgen	fors
getez	VERppe	jeter
,	PONfbl	,
se	CONsub	se
il	PROimp	il
vos	PROper	vos
plaist	VERcjg	plaire
,	PONfbl	,
si	ADVgen	si
soit	VERcjg	estre
brisiez	VERppe	briser
.	PONfrt	.

Car	CONcoo	car
des	PRE.DETdef	de.le
parolesEcclesiastes	NOMcom	parolesse
,	PONfbl	,
se	CONsub	se
je	PROper	je
n'	ADVneg	ne
en	PROadv	en
sui	VERcjg	estre
deceuz	VERppe	décevoir
,	PONfbl	,
estes	VERcjg	estre
vos	PROper	vos
assez	ADVgen	assez
estruit	VERppe	estruire
conoistre	VERinf	connaître
et	CONcoo	et
despitier	VERinf	dépiter
la	DETdef	le
vaniteit	NOMcom	vanité
de	PRE	de
cest	DETdem	cest
munde	NOMcom	monde
.	PONfrt	.

Et	CONcoo	et
ke	CONsub	que
de	PRE	de
parables	NOMcom	parable
?	PONfrt	?

Ne	ADVneg	ne
sunt	VERcjg	être
donkes	ADVgen	donc
vostre	DETpos	vostre
vie	NOMcom	vie
et	CONcoo	et
voz	DETpos	vostre
constumes	NOMcom	coutume
assés	ADVgen	assez
amendeit	VERppe	amender
et	CONcoo	et
enformeit	VERppe	enformer
solunc	PRE	selon
la	DETdef	le
doctrine	NOMcom	doctrine
ki	PROrel	qui
en	PRE	en
eles	PROper	il
est	VERcjg	estre
trovee	VERppe	trover
?	PONfrt	?

Par	PRE	par
tant	ADVgen	tant
,	PONfbl	,
aprés	PRE	après
cez	DETdem	cist
dous	PROcar	deux
,	PONfbl	,
essaiez	VERcjg	essaiier
pains	NOMcom	pain
ke	CONsub	que
vos	PROper	vos
aveiz	VERcjg	avoir
enprontez	VERppe	empronter
fors	ADVgen	fors
de	PRE	de
l'	DETdef	le
escrin	NOMcom	escring
de	PRE	de
vostre	DETpos	vostre
ami	NOMcom	ami
,	PONfbl	,
aprochiez	VERppe	aprochier
a	PRE	a
cest	DETdem	cest
tierc	ADJord	tiers
pain	NOMcom	pain
,	PONfbl	,
ke	CONsub	que
vos	PROper	vos
,	PONfbl	,
puescelestre	NOMcom	poesclettre
,	PONfbl	,
essaiez	VERcjg	essaiier
meilhors	ADJqua	meilleur
choses	NOMcom	chose
.	PONfrt	.

Car	CONcoo	car
,	PONfbl	,
cant	CONsub	quand
doi	VERcjg	devoir
mal	NOMcom	mal
sunt	VERcjg	être
ki	PROrel	qui
soul	ADJqua	seul
u	CONcoo	ou
maement	ADVgen	mêmement
chevalerient	VERcjg	chevaler
encontre	PRE	encontre
l'	DETdef	le
anrme	NOMcom	âme
,	PONfbl	,
la	DETdef	le
vaine	ADJqua	vain
amors	NOMcom	amor
de	PRE	de
cest	DETdem	cest
munde	NOMcom	monde
et	CONcoo	et
li	DETdef	le
demesuree	VERppe	démesurer
de	PRE	de
nos	PROper	nos
,	PONfbl	,
a	PRE	a
l'	DETdef	le
une	PROind	un
et	CONcoo	et
a	PRE	a
l'	DETdef	le
altre	ADJind	autre
pestilence	NOMcom	pestilence
sunt	VERcjg	être
conut	VERppe	connaître
encontre	ADVgen	encontre
aler	VERinf	aler
cil	DETdem	cil
doi	ADJcar	deux
livre	NOMcom	livre
:	PONfbl	:
li	DETdef	le
unz	PROind	un
par	PRE	par
lo	DETdef	le
ferement	NOMcom	ferrement
de	PRE	de
discipline	NOMcom	discipline
trenchet	VERcjg	trancher
chascunes	DETind	chascun
malvaises	ADJqua	mauvais
choses	NOMcom	chose
fors	ADVgen	fors
des	PRE.DETdef	de.le
constumes	NOMcom	coutume
et	CONcoo	et
les	DETdef	le
superfluitez	NOMcom	superfluté
de	PRE	de
la	DETdef	le
char	NOMcom	char
;	PONfbl	;
li	DETdef	le
altres	PROind	autre
,	PONfbl	,
par	PRE	par
la	DETdef	le
lumiere	NOMcom	lumière
de	PRE	de
raison	NOMcom	raison
,	PONfbl	,
parzoit	VERcjg	parçoir
sagement	ADVgen	sagement
en	PRE	en
tote	DETind	tot
la	DETdef	le
glorie	NOMcom	gloire
la	DETdef	le
false	ADJqua	faux
colour	NOMcom	couleur
de	PRE	de
vaniteit	NOMcom	vanité
et	CONcoo	et
deviset	VERcjg	deviser
vraement	ADVgen	vrament
de	PRE	de
le	DETdef	le
fermeteit	NOMcom	fermeté
de	PRE	de
veriteit	NOMcom	vérité
.	PONfrt	.

A	PRE	a
la	DETdef	le
parfin	NOMcom	parfin
,	PONfbl	,
plus	ADVgen	plus
ke	CONsub	que
toz	ADVgen	tot
humains	ADJqua	humain
estudes	NOMcom	étude
et	CONcoo	et
mundains	ADJqua	mondain
deseiers	NOMcom	desser
prisat	VERcjg	priser
il	PROper	il
Deu	NOMpro	Dieu
cremoir	VERinf	crémir
etses	VERcjg	estre
comanz	NOMcom	command
garder	VERinf	garder
.	PONfrt	.

Et	CONcoo	et
a	PRE	a
droit	NOMcom	droit
,	PONfbl	,
car	CONcoo	car
cil	DETdem	cil
promiers	ADJord	premier
est	VERcjg	estre
comencemenz	NOMcom	commencement
de	PRE	de
vrai	ADJqua	vrai
repaus	NOMcom	repais
,	PONfbl	,
et	CONcoo	et
li	DETdef	le
altres	ADJind	autre
fins	NOMcom	fin
.	PONfrt	.

Ferme	ADJqua	ferm
chose	NOMcom	chose
vos	PROper	vos
est	VERcjg	estre
nient	ADVgen	néant
altre	DETind	autre
chose	NOMcom	chose
estre	VERinf	estre
vraie	ADJqua	vrai
sapience	NOMcom	sapience
et	CONcoo	et
parfinee	VERppe	parfiner
ke	CONsub	que
laissier	VERinf	laisser
lo	DETdef	le
mal	NOMcom	mal
et	CONcoo	et
faire	VERinf	faire
lo	DETdef	le
bien	NOMcom	bien
.	PONfrt	.

Lo	DETdef	le
parés	NOMcom	paré
,	PONfbl	,
se	CONsub	se
ferme	ADJqua	ferme
chose	NOMcom	chose
vos	PROper	vos
est	VERcjg	estre
nului	PROind	nul
pooirrepairier	VERinf	pourire
del	PRE.DETdef	de
mal	NOMcom	mal
sen	PRE	sans
la	DETdef	le
cremor	NOMcom	crémeur
Deu	NOMpro	Dieu
ne	CONcoo	ne
bone	ADJqua	bon
oevre	NOMcom	uevre
estre	VERinf	estre
senz	PRE	sans
la	DETdef	le
garde	NOMcom	garde
des	PRE.DETdef	de.le
comanz	NOMcom	command
Deu	NOMpro	Dieu
.	PONfrt	.

Giers	ADVgen	gieres
,	PONfbl	,
cant	CONsub	quand
li	DETdef	le
doi	ADJcar	deux
mal	NOMcom	mal
sunt	VERcjg	être
fors	ADVgen	fors
boteit	VERppe	bouter
par	PRE	par
la	DETdef	le
leizon	NOMcom	laison
de	PRE	de
cez	DETdem	cist
dous	ADJcar	deux
livres	NOMcom	livre
,	PONfbl	,
covenablement	ADVgen	covenablement
venget	VERcjg	venir
