¶	ADJcar	¶
Des	PRE.DETdef	de
.ii	PROcar	deus
.	PONfrt	.

chevaus	NOMcom	cheval
Cil	PROdem	cel
qui	PROrel	que
trova	VERcjg	trover
del	PRE.DETdef	de
morteruel	NOMcom	morteruel
et	CONcoo	et
del	PRE.DETdef	de
mort	VERppe	mourir
vilain	ADJqua	vilain
de	PRE	de
Bailluel	NOMpro	Beloeil
qui	PROrel	que
n'	ADVneg	ne
ert	VERcjg	être
malades	ADJqua	malade
ne	CONcoo	ne
enfers	NOMcom	enfer
,	PONfbl	,
et	CONcoo	et
de	PRE	de
Gombert	NOMpro	Gombert
et	CONcoo	et
des	PRE.DETdef	de.le
.ii	PROcar	deus
.	PONfrt	.

clers	NOMcom	clerc
que	PROrel	que
il	PROper	il
mal	ADVgen	mal
atrait	VERcjg	atraire
en	PRE	en
son	DETpos	son
estre	NOMcom	être
,	PONfbl	,
et	CONcoo	et
de	PRE	de
Brunain	NOMpro	Brunain
,	PONfbl	,
la	DETdef	le
vache	NOMcom	vache
au	PRE.DETdef	a
prestre	NOMcom	prêtre
,	PONfbl	,
que	PROrel	que
Blere	NOMpro	Blaire
amena	VERcjg	amener
,	PONfbl	,
ce	PROdem	ce
m'	PROper	je
est	VERcjg	estre
vis	NOMcom	vis
,	PONfbl	,
et	CONcoo	et
trova	VERcjg	trover
le	DETdef	le
songe	NOMcom	songe
des	PRE.DETdef	de.le
vis	NOMcom	vis
que	PROrel	que
la	DETdef	le
dame	NOMcom	dame
paumoier	VERinf	paumoyer
dut	VERcjg	devoir
,	PONfbl	,
et	CONcoo	et
du	PRE.DETdef	de.le
leu	NOMcom	lieu
que	PROrel	que
l'	DETdef	le
oue	NOMcom	oue
deçut	VERcjg	decevoir
,	PONfbl	,
et	CONcoo	et
des	PRE.DETdef	de.le
.ii	PROcar	deus
.	PONfrt	.

envieus	ADJqua	envieux
cuivers	NOMcom	cuivier
,	PONfbl	,
et	CONcoo	et
de	PRE	de
Barat	NOMcom	barat
et	CONcoo	et
de	PRE	de
Travers	NOMpro	Travers
et	CONcoo	et
de	PRE	de
lor	DETpos	lor
compaignon	NOMcom	compagnon
Haimet	VERcjg	haimer
,	PONfbl	,
d'	PRE	de
un	DETndf	un
autre	ADJind	autre
fablel	NOMcom	fablel
s'	PROper	soi
entremet	VERcjg	entremettre
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
cuida	VERcjg	cuidier
ja	ADVgen	ja
entreprendre	VERinf	entreprendre
,	PONfbl	,
ne	CONcoo	ne
por	PRE	por
mestre	NOMcom	maistre
Jehan	NOMpro	Jean
reprendre	VERinf	reprendre
de	PRE	de
Boves	NOMpro	Boven
,	PONfbl	,
qui	PROrel	que
dist	VERcjg	dire
bien	ADVgen	bien
et	CONcoo	et
bel	ADVgen	bel
,	PONfbl	,
n'	ADVneg	ne
entreprent	VERcjg	entreprendre
il	PROper	il
pas	ADVneg	pas
cest	DETdem	cest
fablel	NOMcom	fablel
,	PONfbl	,
quar	CONcoo	car
assez	ADVgen	assez
sont	VERcjg	estre
si	ADVgen	si
dit	VERppe	dire
resnable	ADJqua	raisnable
,	PONfbl	,
mes	CONcoo	mais
qui	PROrel	que
de	PRE	de
fablel	NOMcom	fablel
fet	VERcjg	faire
grant	ADJqua	grant
fable	NOMcom	fable
n'	ADVneg	ne
a	VERcjg	avoir
pas	ADVneg	pas
de	PRE	de
trover	VERinf	trover
sens	NOMcom	sens
legier	ADJqua	legier
.	PONfrt	.

Mes	CONcoo	mais
por	PRE	por
ma	DETpos	mon
matere	NOMcom	matiere
abregier	VERinf	abregier
vous	PROper	vous
conterai	VERcjg	conter
tout	ADVgen	tout
demanois	PRE	demanois
qu'	CONsub	que
il	PROimp	il
avint	VERcjg	advenir
en	PRE	en
cel	DETdem	cil
