¶	ADJcar	¶
Le	DETdef	le
pet	VERcjg	paistre
au	PRE.DETdef	a
villain	NOMcom	villain
En	PRE	en
paradis	NOMcom	paradis
l'	DETdef	le
esperitable	ADJqua	esperitable
ont	VERcjg	avoir
grant	ADJqua	grant
part	NOMcom	part
la	DETdef	le
gent	NOMcom	gent
charitable	ADJqua	charitable
,	PONfbl	,
mes	CONcoo	mais
cil	PROdem	cel
qu'	PROrel	que
en	PRE	en
aus	PROper	il
n'	ADVneg	ne
ont	VERcjg	avoir
charité	NOMcom	charité
ne	CONcoo	ne
sens	NOMcom	sens
,	PONfbl	,
ne	CONcoo	ne
bien	NOMcom	bien
,	PONfbl	,
ne	CONcoo	ne
verité	NOMcom	verité
,	PONfbl	,
si	ADVgen	si
ont	VERcjg	avoir
failli	VERppe	falir
a	PRE	a
cele	DETdem	cil
joie	NOMcom	joie
ne	CONcoo	ne
ne	ADVneg	ne
cuit	VERcjg	cuidier
que	CONsub	que
ja	ADVgen	ja
nus	PROind	nul
en	PRE	en
joie	NOMcom	joie
,	PONfbl	,
s'	CONsub	se
il	PROimp	il
n'	ADVneg	ne
a	VERcjg	avoir
en	PRE	en
lui	PROper	il
pitié	NOMcom	pitié
humaine	ADJqua	humain
.	PONfrt	.

Ce	PROdem	ce
di	VERcjg	dire
je	PROper	je
por	PRE	por
la	DETdef	le
gent	NOMcom	gent
vilaine	ADJqua	vilain
c'	CONsub	que
onques	ADVgen	onque
n'	ADVneg	ne
amerent	VERcjg	aimer
clerc	NOMcom	clerc
ne	CONcoo	ne
prestre	NOMcom	prêtre
,	PONfbl	,
si	ADVgen	si
ne	ADVneg	ne
cuit	VERcjg	cuidier
pas	ADVneg	pas
que	CONsub	que
Diex	NOMpro	Dieu
lor	PROper	il
preste	VERcjg	prester
en	PRE	en
paradis	NOMcom	paradis
ne	CONcoo	ne
leu	NOMcom	lieu
ne	CONcoo	ne
place	NOMcom	place
.	PONfrt	.

Onques	ADVgen	onque
a	PRE	a
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
ne	ADVneg	ne
place	VERcjg	plaire
que	CONsub	que
vilainz	NOMcom	vilain
ait	VERcjg	avoir
herbregerie	NOMcom	herbregerie
avoec	PRE	avuec
le	DETdef	le
filz	NOMcom	fil
sainte	ADJqua	saint
Marie	NOMpro	Marie
quar	CONcoo	car
il	PROper	il
n'	ADVneg	ne
est	VERcjg	estre
reson	NOMcom	raison
ne	CONcoo	ne
droiture	NOMcom	droiture
!	PONfrt	!

Ce	PROdem	ce
trovons	VERcjg	trover
nous	PROper	nous
en	PRE	en
Escripture	NOMcom	écriture
paradis	NOMcom	paradis
ne	ADVneg	ne
pueent	VERcjg	pöoir
avoir	VERinf	avoir
por	PRE	por
deniers	NOMcom	denier
ne	CONcoo	ne
por	PRE	por
autre	DETind	autre
avoir	VERinf	avoir
,	PONfbl	,
et	CONcoo	et
a	PRE	a
enfer	NOMcom	enfer
ront	VERcjg	rompre
il	PROper	il
failli	VERppe	falir
,	PONfbl	,
dont	PROrel	dont
li	DETdef	le
maufé	NOMcom	maufé
sont	VERcjg	estre
mal	ADVgen	mal
bailli	VERppe	baillir
,	PONfbl	,
si	ADVgen	si
orrez	VERcjg	ouïr
par	PRE	par
quel	DETrel	quel
mesprison	NOMcom	mesprison
il	PROper	il
perdirent	VERcjg	perdre
cele	DETdem	cil
prison	NOMcom	prison
.	PONfrt	.

adis	NOMcom	adi
fu	VERcjg	estre
uns	DETndf	un
vilains	ADJqua	vilain
enfers	NOMcom	enfer
.	PONfrt	.

Appareilliez	VERppe	appareiller
estoit	VERcjg	estre
enfers	NOMcom	enfer
por	PRE	por
l'	DETdef	le
ame	NOMcom	ame
au	PRE.DETdef	a
vilain	ADJqua	vilain
recevoir	VERinf	recevoir
,	PONfbl	,
ice	PROdem	ice
vous	PROper	vous
di	VERcjg	dire
je	PROper	je
bien	ADVgen	bien
de	PRE	de
voir	ADJqua	voir
!	PONfrt	!

Uns	DETndf	un
deables	NOMcom	diable
i	PROadv	i
ert	VERcjg	être
venuz	VERppe	venir
par	PRE	par
qui	PROrel	que
li	DETdef	le
droiz	NOMcom	droit
ert	VERcjg	être
maintenuz	VERppe	maintenir
.	PONfrt	.

Maintenant	ADVgen	maintenant
que	CONsub	que
leenz	ADVgen	laienz
descent	VERcjg	descendre
,	PONfbl	,
.i	PROind	un
.	PONfrt	.

sac	NOMcom	sac
de	PRE	de
cuir	NOMcom	cuir
au	PRE.DETdef	a
cul	NOMcom	cul
li	PROper	il
pent	VERcjg	pendre
quar	CONcoo	car
li	DETdef	le
maufez	VERppe	maufé
cuide	VERcjg	cuidier
sanz	PRE	sans
faille	NOMcom	faille
que	CONsub	que
l'	DETdef	le
ame	NOMcom	ame
par	PRE	par
le	DETdef	le
cul	NOMcom	cul
s'	PROper	soi
en	PROadv	en
aille	VERcjg	aler
,	PONfbl	,
mes	CONcoo	mais
li	DETdef	le
